,materia,a.conhecimento
0,Cultura Visual,"Humanidades, Artes e Linguagens"
1,Estatística Descritiva,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
2,Introdução à Economia,"Ciências Sociais, Jornalismo e Informação"
3,Metodologia da Pesquisa,programas genericos
4,Ciências Sociais Aplicadas à Administração,Negócios e Administração
5,Introdução ao Marketing,Negócios e Administração
6,Introdução ao Universo do Entretenimento,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
7,Matemática Aplicada I,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
8,Teoria Geral da Administração,Negócios e Administração
9,Comportamento do Consumidor,Negócios e Administração
10,Filosofia,"Humanidades, Artes e Linguagens"
11,Psicologia Aplicada à Administracão,Psicologia e Desenvolvimento Pessoal
12,"Audio-Visual (TV, Rádio e Cinema)","Humanidades, Artes e Linguagens"
13,Composto de Marketing,Negócios e Administração
14,Economia do Entretenimento,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
15,Matemática Aplicada II,"Engenharia, Produção e Construção"
16,Estatística Aplicada à Pesquisa,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
17,Análise de Tendências,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
18,Contabilidade Financeira de Custos,Negócios e Administração
19,Diagnóstico Estratégico de Marketing,Negócios e Administração
20,Direito Empresarial,Direito
21,Entretenimento Digital,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
22,Microeconomia,"Ciências Sociais, Jornalismo e Informação"
23,Pesquisa Quantitativa,Educação
24,Teoria das Organizações,Negócios e Administração
25,Negócio das Indústrias Culturais,"Humanidades, Artes e Linguagens"
26,Cálculos Financeiros,Negócios e Administração
27,Direito Trabalhista,Direito
28,Gestão de Operações,Negócios e Administração
29,Macroeconomia,"Ciências Sociais, Jornalismo e Informação"
30,Negócio do Turismo,Serviços
31,Pesquisa Qualitativa,Educação
32,Plano Estratégico de Marketing,Negócios e Administração
33,Estratégias de Marcas,Negócios e Administração
34,Comportamento Organizacional,Negócios e Administração
35,Finanças Corporativas e Orçamento,Negócios e Administração
36,Gestão de Tecnologia,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
37,Marketing de Serviços,Negócios e Administração
38,Mercado Cultural e Leis de Incentivo,"Ciências Sociais, Jornalismo e Informação"
39,Negócio da Moda,"Humanidades, Artes e Linguagens"
40,Modelagem e Pesquisa Operacional,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
41,Gestão de Projetos,Negócios e Administração
42,Logística Empresarial,Negócios e Administração
43,Narrativas e Marcas,Negócios e Administração
44,Planejamento e Desenvolvimento de Recursos Humanos,Negócios e Administração
45,Planejamento Estratégico de Comunicação Corporativa,Negócios e Administração
46,Produção Cultural,"Humanidades, Artes e Linguagens"
47,"Trade, Vendas e Varejo",Serviços
48,TCC I,programas genericos
49,Empreendedorismo e Inovação na Economia Criativa,Negócios e Administração
50,Estratégias e Jogos Empresariais,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
51,Gestão de Investimentos,Negócios e Administração
52,Marketing de Relacionamento,Negócios e Administração
53,Negócio dos Esportes,Negócios e Administração
54,Negociação,Negócios e Administração
55,Responsabilidade Social e Ambiental,"Humanidades, Artes e Linguagens"
56,TCC II,programas genericos
57,Estágio Supervisionado,programas genericos
58,Projeto Integrado I - Arenas de Entretenimento,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
59,Ciências Sociais Aplicadas à Administração,Negócios e Administração
60,Filosofia,"Humanidades, Artes e Linguagens"
61,Introdução ao Marketing,Negócios e Administração
62,Introdução ao Universo do Entretenimento,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
63,Matemática Aplicada I,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
64,Metodologia da Pesquisa,programas genericos
65,Teoria Geral da Administração,Negócios e Administração
66,Projeto Integrado II - Análise de Tendências,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
67,"Audio-Visual (TV, Rádio e Cinema)","Humanidades, Artes e Linguagens"
68,Composto de Marketing,Negócios e Administração
