nome_blox,status,nome_curso,Record Count,area_conhecimento
Inovar para o sucesso!,ongoing,Extensão em Negócios e Inovação,1576,1
O comportamento humano,ongoing,Extensão em Negócios e Inovação,1170,1
"Conceitos de linguagem e comunicação: fala, escrita e técnicas de leitura",ongoing,Extensão em Negócios e Inovação,972,1
Planejar para empreender! Plano de negócios e Modelo de negócios,ongoing,Extensão em Negócios e Inovação,875,1
Comportamento organizacional,ongoing,Extensão em Negócios e Inovação,850,1
A magia da negociação,ongoing,Extensão em Negócios e Inovação,812,1
Como aprendemos: Teorias de Aprendizagem,ongoing,Extensão em Negócios e Inovação,762,1
Medindo o desempenho em Gestão de Pessoas,ongoing,Extensão em Negócios e Inovação,751,1
Contabilidade Para Não Contadores,ongoing,Extensão em Negócios e Inovação,702,1
O que um gestor precisa saber sobre didática,ongoing,Extensão em Negócios e Inovação,678,1
Design Thinking: a busca por soluções,ongoing,Extensão em Negócios e Inovação,582,1
Analisando dados estatísticos,ongoing,Extensão em Negócios e Inovação,576,1
Indicadores financeiros básicos,ongoing,Extensão em Negócios e Inovação,567,1
Gestão contábil e financeira,ongoing,Extensão em Negócios e Inovação,549,1
Valorização profissional – Retenção de profissionais,ongoing,Extensão em Negócios e Inovação,541,1
Montando uma seleção excelente de profissionais,ongoing,Extensão em Negócios e Inovação,503,1
A Gestão de Pessoas Contemporânea,cancelled,Extensão em Negócios e Inovação,498,1
Layout industrial inteligente,ongoing,Extensão em Negócios e Inovação,498,1
Introdução a Administração Financeira,ongoing,Extensão em Negócios e Inovação,483,1
O planejamento do ensino: preparando a aula,ongoing,Extensão em Negócios e Inovação,462,1
Gestão estratégica da tecnologia da informação,ongoing,Extensão em Negócios e Inovação,458,1
A Gestão de Pessoas Contemporânea,ongoing,Extensão em Negócios e Inovação,456,1
Gestão de Compras,ongoing,Extensão em Negócios e Inovação,438,1
Metodologias ágeis para desenvolvimento e melhoria de softwares,ongoing,Extensão em Negócios e Inovação,432,1
Entendendo as relações trabalhistas,ongoing,Extensão em Negócios e Inovação,425,1
Tipos e modelos de organizações,ongoing,Extensão em Negócios e Inovação,414,1
Conhecendo a estatística,ongoing,Extensão em Negócios e Inovação,414,1
O que é Direito Administrativo?,ongoing,Extensão em Negócios e Inovação,408,1
Refletindo sobre o nosso papel - como a filosofia nos ajuda a entender a sociedade,ongoing,Extensão em Negócios e Inovação,384,1
Entendendo Banco de Dados,ongoing,Extensão em Negócios e Inovação,372,1
Projeto e planejamento escolar,ongoing,Extensão em Negócios e Inovação,354,1
Juros e Empréstimos: a avaliação financeira de um projeto,ongoing,Extensão em Negócios e Inovação,351,1
Aprender brincando: ludicidade e pensamento pedagógico,ongoing,Extensão em Negócios e Inovação,348,1
"Ética e Responsabilidade Social ",ongoing,Extensão em Negócios e Inovação,347,1
Seja um coach,ongoing,Extensão em Negócios e Inovação,342,1
Como é o planejamento pedagógico?,ongoing,Extensão em Negócios e Inovação,342,1
Demonstrativos financeiros e contábeis,ongoing,Extensão em Negócios e Inovação,342,1
Fundamentos da pedagogia,ongoing,Extensão em Negócios e Inovação,330,1
O que você precisa saber sobre Linguagem SQL,ongoing,Extensão em Negócios e Inovação,324,1
O que é conhecimento?,ongoing,Extensão em Negócios e Inovação,312,1
Competitividade de mercado,ongoing,Extensão em Negócios e Inovação,306,1
Práticas de Mentoring,ongoing,Extensão em Negócios e Inovação,306,1
Paradigmas pedagógicos,ongoing,Extensão em Negócios e Inovação,294,1
Fundamentos da pedagogia,cancelled,Extensão em Negócios e Inovação,288,1
Cidadão consciente promove o desenvolvimento,ongoing,Extensão em Negócios e Inovação,282,1
Tudo que você precisa saber sobre logística reversa,ongoing,Extensão em Negócios e Inovação,272,1
Inovar para o sucesso!,cancelled,Extensão em Negócios e Inovação,268,1
Compras na Administração Pública,ongoing,Extensão em Negócios e Inovação,264,1
Introdução a Sistemas de Informação e Comunicação,ongoing,Extensão em Negócios e Inovação,254,1
Logística e a movimentação de materiais,ongoing,Extensão em Negócios e Inovação,252,1
"Conceitos de linguagem e comunicação: fala, escrita e técnicas de leitura",cancelled,Extensão em Negócios e Inovação,240,1
Gerenciamento de sistemas operacionais,ongoing,Extensão em Negócios e Inovação,234,1
O que você precisa saber sobre Linguagem SQL,cancelled,Extensão em Negócios e Inovação,234,1
Como é a sociedade brasileira?,ongoing,Extensão em Negócios e Inovação,234,1
Cidadão consciente promove o desenvolvimento,cancelled,Extensão em Negócios e Inovação,228,1
Contabilidade Para Não Contadores,cancelled,Extensão em Negócios e Inovação,222,1
O planejamento do ensino: preparando a aula,ongoing,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),222,1
Práticas de Mentoring,cancelled,Extensão em Negócios e Inovação,222,1
