nome_blox,course_name,area_do_conhecimento,area_funcional,nota
ESTÁGIO SUPERVISIONADO,ADMINISTRACAO,Área de conhecimento desconhecido,Área funcional desconhecida,2602.6000000000004
LÓGICA COMPUTACIONAL,SISTEMAS DE INFORMAÇÃO,Quantitativo,Tecnologia da Informação,2008.9999999999989
ALGORITMOS E ESTRUTURA DE DADOS I,SISTEMAS DE INFORMAÇÃO,Complementar,"Software, Programação e Dados",1865.1000000000004
TEORIA GERAL DE SISTEMAS,SISTEMAS DE INFORMAÇÃO,Técnico,Tecnologia da Informação,1770.3999999999999
LABORATÓRIO DE PROGRAMAÇÃO I,SISTEMAS DE INFORMAÇÃO,Quantitativo,"Software, Programação e Dados",1897.1999999999998
"DIREITO, LEGISLAÇÃO E ÉTICA",SISTEMAS DE INFORMAÇÃO,Básico,Sociedade e Mundo,1449.0999999999985
METODOLOGIA DE PESQUISA,SISTEMAS DE INFORMAÇÃO,Básico,Sociedade e Mundo,1397.4
PROJETO DE PESQUISA,SISTEMAS DE INFORMAÇÃO,Complementar,Sociedade e Mundo,915.0999999999998
MATEMÁTICA I,ADMINISTRACAO,Quantitativo,Raciocínio Lógico e Matemático,1210.5
COMUNICACAO EMPRESARIAL,ADMINISTRACAO,Básico,Sociedade e Mundo,1211
ALGORITMOS E ESTRUTURA DE DADOS II,SISTEMAS DE INFORMAÇÃO,Técnico,"Software, Programação e Dados",1358.6000000000004
ESTATÍSTICA I,ADMINISTRACAO,Quantitativo,Raciocínio Lógico e Matemático,1027.1000000000004
LABORATÓRIO DE PROGRAMAÇÃO II,SISTEMAS DE INFORMAÇÃO,Técnico,"Software, Programação e Dados",1411.299999999999
CONTABILIDADE GERAL,ADMINISTRACAO,Quantitativo,Contabilidade,1028.7999999999997
INTRODUÇÃO À ADMINISTRAÇÃO,ADMINISTRACAO,Técnico,Estratégia e Negociação,1113.6999999999998
INTRODUÇÃO À INFORMÁTICA,SISTEMAS DE INFORMAÇÃO,Técnico,Tecnologia da Informação,1478.4999999999995
ADMINISTRAÇÃO GERAL,SISTEMAS DE INFORMAÇÃO,Técnico,Estratégia e Negociação,1293.9999999999995
ESTÁGIO SUPERVISIONADO,SISTEMAS DE INFORMAÇÃO,Área de conhecimento desconhecido,Área funcional desconhecida,1268.3
ENGENHARIA DE SOFTWARE,SISTEMAS DE INFORMAÇÃO,Técnico,"Software, Programação e Dados",1186.4000000000005
FUNDAMENTOS MATEMÁTICOS PARA A INFORMÁTICA,SISTEMAS DE INFORMAÇÃO,Quantitativo,Raciocínio Lógico e Matemático,1250.0999999999992
SISTEMAS OPERACIONAIS,SISTEMAS DE INFORMAÇÃO,Técnico,"Software, Programação e Dados",1314.999999999999
LOGÍSTICA,ADMINISTRACAO,Básico,Logística,1089.6000000000001
BANCO DE DADOS I,SISTEMAS DE INFORMAÇÃO,Técnico,"Software, Programação e Dados",1187.6
EMPREENDEDORISMO,SISTEMAS DE INFORMAÇÃO,Complementar,Estratégia e Negociação,1193.2999999999988
PROBABILIDADE E ESTATÍSTICA,SISTEMAS DE INFORMAÇÃO,Quantitativo,Raciocínio Lógico e Matemático,1207.6999999999996
INTRODUÇÃO À ECONOMIA,SISTEMAS DE INFORMAÇÃO,Básico,Finanças e Economia,1206.1999999999996
ERGONOMIA DE SISTEMAS,SISTEMAS DE INFORMAÇÃO,Técnico,"Software, Programação e Dados",1074.4999999999993
NOÇÕES DE CÁLCULO DIFERENCIAL E INTEGRAL,SISTEMAS DE INFORMAÇÃO,Quantitativo,Raciocínio Lógico e Matemático,1152.1999999999991
TÓPICOS AVANÇADOS EM SISTEMAS DE INFORMAÇÃO,SISTEMAS DE INFORMAÇÃO,Técnico,"Software, Programação e Dados",1265.4999999999998
SEGURANÇA E AUDITORIA DE SISTEMAS,SISTEMAS DE INFORMAÇÃO,Técnico,"Software, Programação e Dados",1204.3419999999992
